PERMNO,ticker,company,sector,industry,country
92213,RIOT,RIOT PLATFORMS INC,Financial Services,Capital Markets,United States
18835,DKNG,DRAFTKINGS INC,Consumer Cyclical,Gambling,United States
61241,AMD,ADVANCED MICRO DEVICES INC,Technology,Semiconductors,United States
90215,CRM,SALESFORCE INC,Technology,Software - Application,United States
77661,DHI,D R HORTON INC,Consumer Cyclical,Residential Construction,United States
89971,TPX,TEMPUR SEALY INTERNATIONAL INC,Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States
20357,IONQ,IONQ INC,Technology,Computer Hardware,United States
17987,VRT,VERTIV HOLDINGS CO,Industrials,Electrical Equipment & Parts,United States
93132,FTNT,FORTINET INC,Technology,Software - Infrastructure,United States
14714,ANET,ARISTA NETWORKS INC,Technology,Computer Hardware,United States
93263,CELH,CELSIUS HOLDINGS INC,Consumer Defensive,Beverages - Non-Alcoholic,United States
60628,FDX,FEDEX CORP,Industrials,Integrated Freight & Logistics,United States
82694,EME,EMCOR GROUP INC,Industrials,Engineering & Construction,United States
13284,ALSN,ALLISON TRANSMISSION HLDGS INC,Consumer Cyclical,Auto Parts,United States
13447,NOW,SERVICENOW INC,Technology,Software - Application,United States
38093,AJG,GALLAGHER ARTHUR J & CO,Financial Services,Insurance Brokers,United States
13628,WDAY,WORKDAY INC,Technology,Software - Application,United States
59328,INTC,INTEL CORP,Technology,Semiconductors,United States
88360,MRVL,MARVELL TECHNOLOGY INC,Technology,Semiconductors,United States
91152,TDG,TRANSDIGM GROUP INC,Industrials,Aerospace & Defense,United States
80575,SSD,SIMPSON MANUFACTURING CO INC,Basic Materials,Lumber & Wood Production,United States
90377,ONTO,ONTO INNOVATION INC,Technology,Semiconductor Equipment & Materials,United States
77338,ROP,ROPER TECHNOLOGIES INC,Technology,Software - Application,United States
23393,CHD,CHURCH & DWIGHT INC,Consumer Defensive,Household & Personal Products,United States
70703,EQC,EQUITY COMMONWEALTH,Real Estate,REIT - Office,United States
89575,SAFT,SAFETY INSURANCE GROUP INC,Financial Services,Insurance - Property & Casualty,United States
65875,VZ,VERIZON COMMUNICATIONS INC,Communication Services,Telecom Services,United States
23182,CPK,CHESAPEAKE UTILITIES CORP,Utilities,Utilities - Regulated Gas,United States
77379,THFF,FIRST FINANCIAL CORP IN,Financial Services,Banks - Regional,United States
15579,TXN,TEXAS INSTRUMENTS INC,Technology,Semiconductors,United States
83509,FCN,F T I CONSULTING INC,Industrials,Consulting Services,United States
85488,OSIS,O S I SYSTEMS INC,Technology,Electronic Components,United States
90550,DLB,DOLBY LABORATORIES INC,Industrials,Specialty Business Services,United States
92852,LOPE,GRAND CANYON EDUCATION INC,Consumer Defensive,Education & Training Services,United States
81095,NWBI,NORTHWEST BANCSHARES INC,Financial Services,Banks - Regional,United States
75828,EA,ELECTRONIC ARTS INC,Communication Services,Electronic Gaming & Multimedia,United States
66093,T,A T & T INC,Communication Services,Telecom Services,United States
11404,ED,CONSOLIDATED EDISON INC,Utilities,Utilities - Regulated Electric,United States
89397,VRNT,VERINT SYSTEMS INC,Technology,Software - Infrastructure,United States
82107,WABC,WESTAMERICA BANCORPORATION,Financial Services,Banks - Regional,United States
51625,SCI,SERVICE CORP INTERNATIONAL,Consumer Cyclical,Personal Services,United States
89387,CPSI,COMPUTER PROGRAMS & SYSTEMS INC,Healthcare,Health Information Services,United States
64961,NXGN.TA,NEXTGEN HEALTHCARE INC,Healthcare,Medical Instruments & Supplies,Israel
12781,SR,SPIRE INC,Utilities,Utilities - Regulated Gas,United States
39642,BDX,BECTON DICKINSON & CO,Healthcare,Medical Instruments & Supplies,United States
24969,AVA,AVISTA CORP,Utilities,Utilities - Diversified,United States
88924,FLO,FLOWERS FOODS INC,Consumer Defensive,Packaged Foods,United States
88167,HSTM,HEALTHSTREAM INC,Healthcare,Health Information Services,United States
10812,HTLD,HEARTLAND EXPRESS INC,Industrials,Trucking,United States
90012,PETS,PETMED EXPRESS INC,Healthcare,Pharmaceutical Retailers,United States
27959,DUK,DUKE ENERGY CORP NEW,Utilities,Utilities - Regulated Electric,United States
72338,NHC,NATIONAL HEALTHCARE CORP,Healthcare,Medical Care Facilities,United States
11442,CHCO,CITY HOLDING CO,Financial Services,Banks - Regional,United States
90409,HURN,HURON CONSULTING GROUP INC,Industrials,Consulting Services,United States
83738,CASS,CASS INFORMATION SYSTEMS INC,Industrials,Specialty Business Services,United States
17683,CLBK,COLUMBIA FINANCIAL INC,Financial Services,Banks - Regional,United States
35991,ROG,ROGERS CORP,Technology,Electronic Components,United States
88664,JKHY,HENRY JACK & ASSOC INC,Technology,Information Technology Services,United States
15707,HPE,HEWLETT PACKARD ENTERPRISE CO,Technology,Communication Equipment,United States
93266,QNST,QUINSTREET INC,Communication Services,Advertising Agencies,United States
90963,AMSF,AMERISAFE INC,Financial Services,Insurance - Specialty,United States
91463,CVLT,COMMVAULT SYSTEMS INC,Technology,Software - Application,United States
93429,CBOE,C B O E GLOBAL MARKETS INC,Financial Services,Financial Data & Stock Exchanges,United States
36003,ROL,ROLLINS INC,Consumer Cyclical,Personal Services,United States
63125,AGYS,AGILYSYS INC,Technology,Software - Application,United States
24023,BATRK,ATLANTA BRAVES HOLDINGS INC,Communication Services,Entertainment,United States
59045,KEX,KIRBY CORP,Industrials,Marine Shipping,United States
64194,CHE,CHEMED CORP NEW,Healthcare,Medical Care Facilities,United States
86228,RSG,REPUBLIC SERVICES INC,Industrials,Waste Management,United States
45306,IDCC,INTERDIGITAL INC,Technology,Software - Application,United States
82598,NTAP,NETAPP INC,Technology,Computer Hardware,United States
90276,BLKB,BLACKBAUD INC,Technology,Software - Application,United States
21371,CAH,CARDINAL HEALTH INC,Healthcare,Medical Distribution,United States
89626,CME,C M E GROUP INC,Financial Services,Financial Data & Stock Exchanges,United States
92493,LRN,STRIDE INC,Consumer Defensive,Education & Training Services,United States
81540,COR,CENCORA INC,Healthcare,Medical Distribution,United States
88988,IDT,I D T CORP,Communication Services,Telecom Services,United States
51423,MCS,MARCUS CORP,Communication Services,Entertainment,United States
21648,INST,INSTRUCTURE HOLDINGS INC,Technology,Software - Application,United States
50789,MGEE,M G E ENERGY INC,Utilities,Utilities - Regulated Electric,United States
85631,ADSK,AUTODESK INC,Technology,Software - Application,United States
61621,PAYX,PAYCHEX INC,Industrials,Staffing & Employment Services,United States
92203,LULU,LULULEMON ATHLETICA INC,Consumer Cyclical,Apparel Retail,Canada
51369,TER,TERADYNE INC,Technology,Semiconductor Equipment & Materials,United States
82642,EL,LAUDER ESTEE COS INC,Consumer Defensive,Household & Personal Products,United States
20391,TPL,TEXAS PACIFIC LAND CORP,Energy,Oil & Gas E&P,United States
20391,TPL,TEXAS PACIFIC LAND CORP,Energy,Oil & Gas E&P,United States
14752,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P,United States
14752,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P,United States
76841,BIIB,BIOGEN INC,Healthcare,Drug Manufacturers - General,United States
86158,CTSH,COGNIZANT TECHNOLOGY SOLS CORP,Technology,Information Technology Services,United States
78981,LSTR,LANDSTAR SYSTEM INC,Industrials,Integrated Freight & Logistics,United States
14776,SYF,SYNCHRONY FINANCIAL,Financial Services,Credit Services,United States
