"Stock_PERMNO","nameenddt","ticker","comnam"
19880,"19720","MTZ","MASTEC INC"
18910,"19720","NVST","ENVISTA HOLDINGS CORP"
79859,"19720","NYCB","NEW YORK COMMUNITY BANCORP INC"
59396,"19720","ORI","OLD REPUBLIC INTERNATIONAL CORP"
86432,"19720","PB","PROSPERITY BANCSHARES INC"
15724,"19720","PFGC","PERFORMANCE FOOD GROUP CO"
90870,"19720","RBC","R B C BEARINGS INC"
79210,"19720","RGA","REINSURANCE GROUP OF AMERICA INC"
72996,"19720","SF","STIFEL FINANCIAL CORP"
86949,"19720","SKX","SKECHERS U S A INC"
52337,"19720","THC","TENET HEALTHCARE CORP"
17929,"19720","UGI","U G I CORP NEW"
71175,"19720","UNM","UNUM GROUP"
13904,"19720","VOYA","VOYA FINANCIAL INC"
10932,"19720","WBS","WEBSTER FINANCIAL CORP"
84403,"19720","WWD","WOODWARD INC"
76644,"19720","X","UNITED STATES STEEL CORP NEW"
90175,"19720","XPO","X P O INC"
83443,"2023-12-29","BRK-B","Berkshire Hathaway Inc Class B"
17778,"19720","BRK","BERKSHIRE HATHAWAY INC DEL"
24205,"19720","NEE","NEXTERA ENERGY INC"
86111,"19720","AMT","AMERICAN TOWER CORP NEW"
77605,"19720","BSX","BOSTON SCIENTIFIC CORP"
92108,"19720","BX","BLACKSTONE INC"
89617,"19720","EQIX","EQUINIX INC"
88352,"19720","ISRG","INTUITIVE SURGICAL INC"
61399,"19720","LOW","LOWES COMPANIES INC"
13447,"19720","NOW","SERVICENOW INC"
15488,"19720","PYPL","PAYPAL HOLDINGS INC"
77702,"19720","SBUX","STARBUCKS CORP"
17478,"19720","SPGI","S & P GLOBAL INC"
18576,"19720","UBER","UBER TECHNOLOGIES INC"
13788,"19720","ZTS","ZOETIS INC"
18542,"19720","CAT","CATERPILLAR INC"
19350,"19720","DE","DEERE & CO"
12060,"19720","GE","GENERAL ELECTRIC CO"
86868,"19720","GS","GOLDMAN SACHS GROUP INC"
10145,"19720","HON","HONEYWELL INTERNATIONAL INC"
69032,"19720","MS","MORGAN STANLEY DEAN WITTER & CO"
85592,"19720","PLD","PROLOGIS INC"
17830,"19720","RTX","R T X CORP"
80191,"19720","ALB","ALBEMARLE CORP"
28222,"19720","APD","AIR PRODUCTS & CHEMICALS INC"
43123,"19720","ATI","A T I INC"
79133,"19720","ATR","APTARGROUP INC"
44601,"19720","AVY","AVERY DENNISON CORP"
13604,"19720","BERY","BERRY GLOBAL GROUP INC"
57568,"19720","BALL","BALL CORP"
17726,"19720","CCK","CROWN HOLDINGS INC"
90520,"19720","CE","CELANESE CORP DEL"
90829,"19720","CF","C F INDUSTRIES HOLDINGS INC"
30680,"19720","CMC","COMMERCIAL METALS CO"
18592,"19720","CTVA","CORTEVA INC"
16851,"19720","DD","DUPONT DE NEMOURS INC"
18428,"19720","DOW","DOW INC"
70578,"19720","ECL","ECOLAB INC"
80080,"19720","EMN","EASTMAN CHEMICAL CO"
80415,"19720","EXP","EAGLE MATERIALS INC"
19166,"19720","FMC","F M C CORP"
89810,"19720","GPK","GRAPHIC PACKAGING HOLDING CO"
40272,"19720","IFF","INTERNATIONAL FLAVORS & FRAG INC"
21573,"19720","IP","INTERNATIONAL PAPER CO"
80204,"19720","MLM","MARTIN MARIETTA MATERIALS INC"
90386,"19720","MOS","MOSAIC CO NEW"
21207,"19720","NEM","NEWMONT CORP"
13610,"19720","OLN","OLIN CORP"
87541,"19720","PKG","PACKAGING CORP AMERICA"
22509,"19720","PPG","P P G INDUSTRIES INC"
85926,"19720","SEE","SEALED AIR CORP NEW"
36468,"19720","SHW","SHERWIN WILLIAMS CO"
71176,"19720","SON","SONOCO PRODUCTS CO"
84262,"19720","STLD","STEEL DYNAMICS INC"
15202,"19720","VMC","VULCAN MATERIALS CO"
16338,"19720","VVV","VALVOLINE INC"
21186,"19720","WRK","WESTROCK CO"
39490,"19720","APA","A P A CORP"
32986,"19720","ATO","ATMOS ENERGY CORP"
12366,"19720","BAH","BOOZ ALLEN HAMILTON HOLDING CORP"
89138,"19720","BG","BUNGE GLOBAL S A"
20583,"19720","CHK","CHESAPEAKE ENERGY CORP"
18835,"19720","DKNG","DRAFTKINGS INC"
88439,"19720","ENTG","ENTEGRIS INC"
88863,"19720","EXAS","EXACT SCIENCES CORP"
10777,"19720","FCNCA","FIRST CITIZENS BANCSHARES INC NC"
91611,"19720","FSLR","FIRST SOLAR INC"
14252,"19720","GLPI","GAMING & LEISURE PROPERTIES INC"
24643,"19720","HWM","HOWMET AEROSPACE INC"
75591,"19720","IEX","IDEX CORP"
77129,"19720","KIM","KIMCO REALTY CORP"
57809,"19720","NDSN","NORDSON CORP"
89134,"19720","OVV","OVINTIV INC"
75912,"19720","PTC","P T C INC"
75694,"19720","TECH","BIO TECHNE CORP"
12476,"19720","TRGP","TARGA RESOURCES CORP"
17987,"19720","VRT","VERTIV HOLDINGS CO"
14061,"19720","AMH","AMERICAN HOMES 4 RENT"
88281,"19720","CRL","CHARLES RIVER LABS INTL INC"
78947,"19720","ELS","EQUITY LIFESTYLE PROPERTIES INC"
16664,"19720","FND","FLOOR & DECOR HOLDINGS INC"
12400,"19720","LPLA","L P L FINANCIAL HOLDINGS INC"
16304,"19720","NTNX","NUTANIX INC"
15729,"19720","PSTG","PURE STORAGE INC"
85002,"19720","SRPT","SAREPTA THERAPEUTICS INC"
15782,"19720","WSC","WILLSCOT MOBILE MINI HLDGS CORP"
60687,"19720","AFG","AMERICAN FINANCIAL GROUP INC NEW"
14329,"19720","ARMK","ARAMARK"
86964,"19720","FFIV","F 5 INC"
90071,"19720","NRG","N R G ENERGY INC"
88661,"19720","TPR","TAPESTRY INC"
16084,"19720","USFD","US FOODS HOLDING CORP"
89533,"19720","WYNN","WYNN RESORTS LTD"
85914,"19720","BBY","BEST BUY COMPANY INC"
14182,"19720","BURL","BURLINGTON STORES INC"
75154,"19720","CCL","CARNIVAL CORP"
20189,"19720","DASH","DOORDASH INC"
77661,"19720","DHI","D R HORTON INC"
81481,"19720","DLTR","DOLLAR TREE INC"
90248,"19720","DPZ","DOMINOS PIZZA INC"
81655,"19720","DRI","DARDEN RESTAURANTS INC"
86356,"19720","EBAY","EBAY INC"
15291,"19720","ETSY","ETSY INC"
90808,"19720","EXPE","EXPEDIA GROUP INC"
46674,"19720","GPC","GENUINE PARTS CO"
14338,"19720","HLT","HILTON WORLDWIDE HOLDINGS INC"
89731,"19720","LEN","LENNAR CORP"
89866,"19720","LKQ","L K Q CORP"
90505,"19720","LVS","LAS VEGAS SANDS CORP"
85913,"19720","MAR","MARRIOTT INTERNATIONAL INC NEW"
92221,"19720","MELI","MERCADOLIBRE INC"
79785,"19720","NVR","N V R INC"
82515,"19720","POOL","POOL CORP"
22265,"19720","RIVN","RIVIAN AUTOMOTIVE INC"
91556,"19720","ROST","ROSS STORES INC"
80286,"19720","TSCO","TRACTOR SUPPLY CO NEW"
92322,"19720","ULTA","ULTA BEAUTY INC"
85348,"19720","YUM","YUM BRANDS INC"
19413,"19720","ACI","ALBERTSONS COMPANIES INC"
29946,"19720","BF","BROWN FORMAN CORP"
22812,"19720","BRBR","BELLRING BRANDS INC NEW"
56274,"19720","CAG","CONAGRA BRANDS INC"
93263,"19720","CELH","CELSIUS HOLDINGS INC"
46578,"19720","CLX","CLOROX CO"
25320,"19720","CPB","CAMPBELL SOUP CO"
16318,"19720","ELF","E L F BEAUTY INC"
17144,"19720","GIS","GENERAL MILLS INC"
32870,"19720","HRL","HORMEL FOODS CORP"
16600,"19720","HSY","HERSHEY CO"
26825,"19720","K","KELLANOVA"
17942,"19720","KDP","KEURIG DR PEPPER INC"
16678,"19720","KR","KROGER CO"
16431,"19720","LW","LAMB WESTON HOLDINGS INC"
89006,"19720","MDLZ","MONDELEZ INTERNATIONAL INC"
52090,"19720","MKC","MCCORMICK & CO INC"
88031,"19720","MNST","MONSTER BEVERAGE CORP NEW"
69796,"19720","STZ","CONSTELLATION BRANDS INC"
52038,"19720","SYY","SYSCO CORP"
90562,"19720","TAP","MOLSON COORS BEVERAGE CO"
77730,"19720","TSN","TYSON FOODS INC"
19502,"19720","WBA","WALGREENS BOOTS ALLIANCE INC"
17783,"19720","CHX","CHAMPIONX CORP"
75034,"19720","BKR","BAKER HUGHES CO"
76082,"19720","CTRA","COTERRA ENERGY INC"
19752,"19662","DEN","DENBURY INC"
21356,"19720","DTM","D T MIDSTREAM INC"
87137,"19720","DVN","DEVON ENERGY CORP NEW"
24328,"19720","EQT","E Q T CORP"
13641,"19720","FANG","DIAMONDBACK ENERGY INC"
23819,"19720","HAL","HALLIBURTON CO"
28484,"19720","HES","HESS CORP"
32707,"19720","HP","HELMERICH & PAYNE INC"
12558,"19720","KMI","KINDER MORGAN INC"
84723,"19720","LNG","CHENIERE ENERGY INC"
15069,"19720","MRO","MARATHON OIL CORP"
13244,"19720","MTDR","MATADOR RESOURCES CO"
28345,"19720","MUR","MURPHY OIL CORP"
20161,"19720","CHRD","CHORD ENERGY CORP"
25232,"19720","OKE","ONEOK INC NEW"
13730,"19720","PBF","P B F ENERGY INC"
62341,"19573","PDCE","P D C ENERGY INC"
50017,"19720","RRC","RANGE RESOURCES CORP"
14277,"19720","SLB","SCHLUMBERGER LTD"
78170,"19720","SM","S M ENERGY CO"
63765,"19720","SWN","SOUTHWESTERN ENERGY CO"
20391,"19720","TPL","TEXAS PACIFIC LAND CORP"
38156,"19720","WMB","WILLIAMS COS"
77501,"19195","CNR","CORNERSTONE BUILDING BRANDS INC"
76932,"19720","ENB","ENBRIDGE INC"
82654,"19720","RY","ROYAL BANK CANADA MONTREAL QUE"
15358,"19720","SHOP","SHOPIFY INC"
80070,"19720","SU","SUNCOR ENERGY INC NEW"
83835,"19720","TD","TORONTO DOMINION BANK ONT"
17972,"19720","PDD","PDD HOLDINGS INC"
